,interruptores,pulsadores,tomadas,total,ibc,desemprego,imobiliario,comercial,residencial,material_eletrico,pib,variacao_pib,consumo,ICST-A,ICST-R,geracaoGWh,IndEletronica,IndEletrica,IndEletronica+Eletrica,IndGeral
2015-02-01,1632521.0,40493.0,959804.0,2632818.0,-0.3799999999999999,8.881784197001252e-16,26986550.070007324,513731143.94000435,-718180565.9000854,14.799999999999999,51533.69999999995,20.617235655471006,-2990441.530000001,1.0000000000000142,5.0,-14909.990385424891,6.499999999999993,4.79999999999999,5.6159999999999854,-2.1999999999999886
2015-03-01,-881970.0,-33224.0,-392016.0,-1307210.0,1.19,-0.40000000000000124,133866947.66999817,397038953.73999786,3253348072.9700317,-11.800000000000002,40156.100000000035,-1.1656920591508744,36760.87000000477,1.8999999999999915,0.20000000000000284,20790.453965784873,-11.899999999999991,10.100000000000016,-0.45999999999998664,5.099999999999987
2015-04-01,-2409211.0,-66476.0,-4793333.0,-7269020.0,-0.9599999999999999,-0.2999999999999998,-146307433.40000534,-1584790308.2200012,141563602.30999756,3.2000000000000046,-111085.80000000005,-32.835743213889906,1719608.6799999997,4.999999999999986,3.999999999999986,-18076.37023162735,13.899999999999999,-4.700000000000017,4.227999999999994,1.8000000000000043
2015-05-01,3976260.0,91777.0,7326343.0,11394380.0,-0.060000000000000275,0.40000000000000036,62818722.970005035,473148928.2400055,-3104658451.6100464,2.6999999999999957,68495.8000000001,38.173131021458886,-2030021.750000015,-6.499999999999972,-6.999999999999972,10475.500477105139,-7.700000000000003,-3.29999999999999,-5.412000000000006,-4.399999999999999
2015-06-01,-2033199.0,-38242.0,-3554658.0,-5626099.0,0.7400000000000004,0.10000000000000142,-15813311.27999878,801515254.079998,1973582181.170105,-3.299999999999997,-4980.000000000116,-15.304423838968182,1687625.32000003,5.299999999999983,7.199999999999974,-2625.1865592287577,-1.3999999999999986,1.499999999999993,0.1080000000000112,0.9999999999999929
2015-07-01,702153.0,19865.0,957822.0,1679840.0,-0.8600000000000003,-0.1000000000000032,26525775.21999359,-359488490.0300064,127192606.30993652,-2.5000000000000018,5437.20000000007,2.032008657557761,35862.519999966025,-8.300000000000011,-10.099999999999994,4364.226375557875,-2.299999999999997,-1.79999999999999,-2.0400000000000063,-1.8999999999999915
2015-08-01,-931889.0,-32722.0,-1603671.0,-2568282.0,0.3799999999999999,1.7763568394002505e-15,-54682879.19999313,-244786069.8699913,-721665671.3200073,8.200000000000001,-37617.100000000035,-8.769799511891577,997990.3900000304,8.700000000000031,9.200000000000003,-5128.076842196766,9.399999999999991,1.9999999999999858,5.552,3.0
2015-09-01,864398.0,54499.0,2233028.0,3151925.0,-0.40999999999999925,1.7763568394002505e-15,54730855.52999878,452030974.7499962,-230435862.71002197,-9.6,38665.70000000001,15.47429080672885,-2548741.6900000274,-6.800000000000026,-5.599999999999994,556.0809336067614,-6.599999999999994,-1.8999999999999844,-4.155999999999999,-1.8000000000000043
2015-10-01,-1346843.0,-97791.0,-3647452.0,-5092086.0,0.5599999999999987,-0.20000000000000284,-104398000.62000275,-283142142.88000107,251540021.82006836,5.899999999999999,6056.700000000012,-6.5761817181027435,2511328.8100000247,4.200000000000017,2.799999999999997,3062.5340397018153,2.500000000000007,2.1999999999999957,2.344000000000001,0.8000000000000043
2015-11-01,1792487.0,104465.0,4067851.0,5964803.0,-0.10999999999999854,0.3000000000000007,115000971.75,-149611401.76999664,553358396.0100098,-0.5999999999999996,-47158.50000000006,-10.69389652176112,-2938877.650000021,2.499999999999986,2.299999999999983,-6557.475011864888,0.79999999999999,1.3999999999999915,1.1120000000000019,2.0999999999999943
2015-12-01,-1572835.0,-65846.0,-2500131.0,-4138812.0,-0.2100000000000013,-0.29999999999999893,-7836001.069999695,120411507.37999725,1215639537.3898315,3.4000000000000004,40941.300000000105,17.566982694144578,983741.3600000143,-5.099999999999994,-5.09999999999998,7040.759921354962,-5.700000000000003,-1.499999999999993,-3.5160000000000124,-4.399999999999999
2016-01-01,1024419.0,21756.0,475697.0,1521872.0,0.23000000000000043,0.8999999999999986,-177532524.4699974,102640261.38999939,-4709192640.869751,-11.7,-52841.60000000009,-18.28787160347646,788920.5599999949,1.2999999999999972,0.10000000000000853,-4301.636538938648,5.70000000000001,-1.7000000000000028,1.852000000000011,3.3000000000000043
2016-02-01,-553165.0,33793.0,511406.0,-7966.0,0.3600000000000012,-0.5999999999999996,151698399.97999954,-154300370.32999802,3047030550.839905,11.799999999999999,72096.00000000006,24.02622332134861,309658.9799999893,1.0,5.399999999999963,-695.1244008885333,1.6999999999999957,0.9000000000000057,1.284000000000006,-1.2000000000000028
2016-03-01,1432826.0,-34973.0,1480422.0,2878275.0,-1.070000000000002,-0.09999999999999787,37529009.83999634,244785662.83999634,2679539887.629883,-2.6999999999999993,-7115.900000000023,-14.915245690131744,-204352.52999997884,-2.59999999999998,-4.599999999999966,7357.614103366905,-5.299999999999997,2.1999999999999886,-1.4000000000000128,-0.4000000000000057
2016-04-01,-2259405.0,-42831.0,-3356732.0,-5658968.0,1.1000000000000014,-0.4000000000000039,-25836575.59999466,-159328379.94999313,-6069271605.779907,-4.000000000000001,-60147.90000000002,-11.090079462604741,-284214.03000000864,2.2999999999999687,1.5,-10391.799346274682,-7.105427357601002e-15,-4.79999999999999,-2.495999999999995,-0.19999999999998863
2016-05-01,1520663.0,76670.0,2162494.0,3759827.0,-0.35000000000000053,0.1000000000000032,-64695583.55000687,427397989.9699936,5924984412.359985,5.1000000000000005,49037.40000000002,21.926951529370573,-2552181.5100000203,2.200000000000017,1.7999999999999687,3833.6704458064705,10.600000000000009,4.0,7.168000000000006,5.3999999999999915
2016-06-01,370379.0,-5656.0,1100963.0,1465686.0,-0.2400000000000002,0.40000000000000036,82275758.2400055,2731438360.1900024,-4310195311.469971,-1.7000000000000002,3847.000000000058,-9.027514747248148,2967737.490000047,-5.400000000000006,-3.899999999999963,2254.360585559916,-13.000000000000007,3.299999999999997,-4.524000000000015,-4.799999999999997
2016-07-01,-1848413.0,-70110.0,-3481552.0,-5400075.0,0.15000000000000036,0.09999999999999609,-38213234.180000305,-6551768804.259998,5420074729.839966,-4.699999999999998,-44686.300000000105,-9.4074716537795,280610.8899999559,5.0,3.399999999999963,1562.166606835497,2.299999999999997,-7.399999999999999,-2.7439999999999856,-2.799999999999997
2016-08-01,2069081.0,82217.0,3638047.0,5789345.0,0.2400000000000002,-0.2999999999999954,33816748.13999939,2789800626.299999,-2506916010.1400146,5.299999999999997,32028.800000000047,14.834232050217615,-69233.39999998361,-1.3999999999999915,-0.9999999999999574,-2518.554822066384,4.500000000000014,3.1999999999999957,3.823999999999998,5.5
2016-09-01,-2046433.0,-63789.0,-3362967.0,-5473189.0,-0.22999999999999954,-0.1000000000000032,-94103822.87000275,1090441725.3999977,-1671580952.6799316,2.900000000000002,-31926.300000000047,-12.138395251155233,-521429.2899999991,-2.700000000000003,-1.5000000000000426,-2192.86070700032,-6.000000000000014,-3.0,-4.440000000000012,-4.800000000000011
2016-10-01,973467.0,24206.0,1642533.0,2640206.0,-0.26000000000000156,0.20000000000000107,83042677.06000137,-14924203.63999939,-6657257071.429932,-12.8,66575.30000000005,18.559140518450292,-1010775.7199999988,0.5999999999999943,-0.39999999999996305,4841.144543241491,1.8000000000000114,5.1000000000000085,3.5160000000000124,-1.4999999999999858
2016-11-01,1257023.0,18559.0,1933656.0,3209238.0,0.4200000000000008,0.0,-219642251.58999634,-881930611.0499992,15320680294.249756,13.0,-38794.19999999995,-20.06333309966269,1501967.8799999878,0.20000000000000284,-0.3000000000000256,-5261.656974890655,1.5999999999999943,-6.400000000000013,-2.5600000000000023,4.3999999999999915
2016-12-01,-1879589.0,-22601.0,-3241670.0,-5143860.0,-0.17999999999999972,0.1999999999999993,617270190.7499962,369483340.7599983,-6516476690.17981,-4.699999999999999,6701.5,8.697254603978363,-1233485.409999974,1.9000000000000057,1.9000000000000057,5581.342409618039,-4.300000000000004,3.20000000000001,-0.4000000000000057,-4.099999999999994
2017-01-01,1125118.0,6392.0,2845124.0,3976634.0,0.25999999999999934,0.20000000000000107,-749954245.829998,55049014.74000549,-4406140017.160156,2.8999999999999986,-71347.40000000014,-13.993186401405378,1091683.5799999684,4.59999999999998,3.1000000000000085,-1723.2829964224657,10.800000000000004,5.200000000000003,7.888000000000005,9.499999999999993
2017-02-01,-354140.0,3353.0,-3101846.0,-3452633.0,-0.6599999999999993,-0.40000000000000036,526652858.94999695,106986857.47999573,4503605564.07019,-9.499999999999998,90237.20000000019,28.747825638725523,-1682967.369999975,-10.699999999999974,-5.6000000000000085,-8434.764362329399,-3.1000000000000014,-2.1000000000000085,-2.5799999999999983,-5.499999999999993
2017-03-01,-413991.0,8607.0,3266061.0,2860677.0,0.75,-0.09999999999999964,-73998045.80999756,-323062699.6500015,-2823155320.0,15.799999999999999,15864.999999999884,-12.30936192784726,3363127.449999988,5.699999999999989,3.0,14822.383726634012,-9.699999999999996,-3.8000000000000043,-6.632000000000005,-3.0
2017-04-01,-1724933.0,-67596.0,-6620234.0,-8412763.0,-0.7800000000000007,-0.5,-325506004.6800003,383946290.62000275,2397156276.65979,-16.0,-91903.80000000005,-21.280840893912817,-5066352.3000000045,0.20000000000000284,-0.09999999999999432,-17244.707778914635,4.0,-1.799999999999983,0.9840000000000018,0.8999999999999915
2017-05-01,4781045.0,110934.0,9622168.0,14514147.0,0.6800000000000002,0.40000000000000036,254587441.6399994,1324082187.1099968,-2824285374.879883,8.400000000000002,91991.6000000001,34.9969612594988,2663787.4400000125,-3.40000000000002,-4.300000000000011,15461.279901741531,7.099999999999994,4.599999999999987,5.800000000000004,2.500000000000014
2017-06-01,-2977254.0,-56470.0,-4627793.0,-7661517.0,-0.6199999999999994,0.1999999999999975,-51883214.72999954,-3062143456.0899925,4326595980.390015,2.799999999999999,-58474.09999999998,-28.454450033850662,1395905.8399999887,4.100000000000037,6.200000000000017,-8624.282601700033,-6.799999999999997,-6.200000000000003,-6.488000000000014,-3.3000000000000185
2017-07-01,-452296.0,-27706.0,-2728577.0,-3208579.0,0.6699999999999995,0.1000000000000032,51075459.92000198,1560064613.4299927,-2099746705.7399902,-10.999999999999998,8520.399999999907,12.814984808936458,-1928904.2399999946,-1.0000000000000284,-3.0,4962.502544700037,0.5,10.20000000000001,5.544000000000018,2.700000000000017
2017-08-01,2132432.0,64960.0,7407810.0,9605202.0,-0.5499999999999999,-0.1000000000000032,-33341917.020004272,-501936482.2599983,-1218362124.6400146,12.2,4679.20000000007,-0.8833532224209553,1913047.7200000063,1.5,2.09999999999998,-975.286602000022,3.1000000000000014,-5.100000000000001,-1.1640000000000086,2.999999999999986
2017-09-01,-2807993.0,-84453.0,-8611255.0,-11503701.0,0.2500000000000002,3.552713678800501e-15,-136385787.7499962,1016999938.6300011,-245638386.1599121,-7.300000000000002,-22277.900000000023,-4.8736172143275756,-561735.1300000027,-3.1999999999999744,-2.1999999999999886,-2832.8676189000034,7.299999999999997,0.3999999999999915,3.711999999999996,-2.799999999999983
2017-10-01,-66856.0,63892.0,1915565.0,1912601.0,0.2999999999999998,-3.552713678800501e-15,142102038.98999786,-654093636.5300026,589010353.40979,2.400000000000002,71969.0,17.153148440528,-1473584.0800000057,0.5999999999999659,-0.3999999999999915,4077.802066022028,-18.9,-3.3999999999999915,-10.839999999999996,-3.3000000000000185
